lat,lon,mcc,mnc,sid,lac,tac,nid,cellid,bid,psc,pci,signal,ta,measured_at,rating,speed,direction,act,devn
43.29331205,12.34914616,222,10,,,33020,,14860340,,,253,26,4,"2025-03-22 15:32:11.008Z",4,0,0,LTE,"OnePlus AC2003"
43.29357782,12.34869386,222,10,,,33020,,14860340,,,253,29,4,"2025-03-22 15:32:40.008Z",4,10,308,LTE,"OnePlus AC2003"
43.29391897,12.34816858,222,10,,,33020,,14860340,,,253,29,4,"2025-03-22 15:32:45.024Z",4,13,311,LTE,"OnePlus AC2003"
43.29426493,12.34761689,222,10,,,33020,,14860340,,,253,29,4,"2025-03-22 15:32:49.002Z",4,15,311,LTE,"OnePlus AC2003"
43.29454937,12.34716338,222,10,,,33020,,14860340,,,253,23,3,"2025-03-22 15:32:52.003Z",4,17,311,LTE,"OnePlus AC2003"
43.29484942,12.34666730,222,10,,,33020,,14860340,,,253,23,3,"2025-03-22 15:32:54.997Z",4,18,309,LTE,"OnePlus AC2003"
43.29515698,12.34616452,222,10,,,33020,,14860340,,,253,23,3,"2025-03-22 15:32:58.018Z",4,18,309,LTE,"OnePlus AC2003"
43.29547776,12.34562849,222,10,,,33020,,14860340,,,253,30,2,"2025-03-22 15:33:01.005Z",4,19,309,LTE,"OnePlus AC2003"
43.29581581,12.34507328,222,10,,,33020,,14860340,,,253,30,2,"2025-03-22 15:33:04.012Z",4,20,310,LTE,"OnePlus AC2003"
43.29616510,12.34449973,222,10,,,33020,,14860340,,,253,30,2,"2025-03-22 15:33:07.010Z",4,21,310,LTE,"OnePlus AC2003"
43.29652086,12.34392634,222,10,,,33020,,14860340,,,253,30,2,"2025-03-22 15:33:10.001Z",4,20,310,LTE,"OnePlus AC2003"
43.29687493,12.34333958,222,10,,,33020,,14860340,,,253,31,0,"2025-03-22 15:33:13.006Z",4,21,310,LTE,"OnePlus AC2003"
43.29723113,12.34275512,222,10,,,33020,,14860340,,,253,31,0,"2025-03-22 15:33:16.016Z",4,21,310,LTE,"OnePlus AC2003"
43.29759476,12.34216685,222,10,,,33020,,14860340,,,253,31,0,"2025-03-22 15:33:19.002Z",4,21,310,LTE,"OnePlus AC2003"
43.29795691,12.34157550,222,10,,,33020,,14860340,,,253,31,0,"2025-03-22 15:33:22.013Z",4,21,310,LTE,"OnePlus AC2003"
43.29832129,12.34097700,222,10,,,33020,,14860340,,,253,31,0,"2025-03-22 15:33:25.013Z",4,21,310,LTE,"OnePlus AC2003"
43.29866797,12.34040399,222,10,,,33020,,14860340,,,253,31,0,"2025-03-22 15:33:28.013Z",4,19,310,LTE,"OnePlus AC2003"
43.29887126,12.34007057,222,10,,,33020,,14860339,,,252,26,1,"2025-03-22 15:33:30.301Z",4,16,310,LTE,"OnePlus AC2003"
43.29919827,12.33963507,222,10,,,33020,,14860339,,,252,26,1,"2025-03-22 15:33:34.002Z",4,10,336,LTE,"OnePlus AC2003"
43.29947652,12.33909429,222,10,,,33020,,14860339,,,252,26,1,"2025-03-22 15:33:42.017Z",4,10,311,LTE,"OnePlus AC2003"
43.29979148,12.33857500,222,10,,,33020,,14860339,,,252,26,1,"2025-03-22 15:33:47.010Z",4,12,310,LTE,"OnePlus AC2003"
43.30011099,12.33805145,222,10,,,33020,,14860339,,,252,31,2,"2025-03-22 15:33:51.016Z",4,14,310,LTE,"OnePlus AC2003"
43.30043406,12.33752237,222,10,,,33020,,14860339,,,252,31,2,"2025-03-22 15:33:55.006Z",4,13,310,LTE,"OnePlus AC2003"
43.30070381,12.33709771,222,10,,,33020,,14860339,,,252,31,2,"2025-03-22 15:33:59.016Z",4,10,312,LTE,"OnePlus AC2003"
43.30102051,12.33673110,222,10,,,33020,,14860339,,,252,31,2,"2025-03-22 15:34:04.007Z",4,8,330,LTE,"OnePlus AC2003"
43.30141944,12.33698808,222,10,,,33020,,14860339,,,252,31,2,"2025-03-22 15:34:10.014Z",4,9,44,LTE,"OnePlus AC2003"
43.30184757,12.33698185,222,10,,,33020,,14860339,,,252,20,,"2025-03-22 15:34:18.002Z",4,4,314,LTE,"OnePlus AC2003"
43.30155180,12.33645650,222,10,,,33020,,14860339,,,252,20,4,"2025-03-22 15:34:34.006Z",4,12,222,LTE,"OnePlus AC2003"
43.30116548,12.33600359,222,10,,,33020,,14860339,,,252,20,4,"2025-03-22 15:34:38.012Z",4,14,220,LTE,"OnePlus AC2003"
43.30078198,12.33557103,222,10,,,33020,,14860339,,,252,22,4,"2025-03-22 15:34:42.002Z",4,14,199,LTE,"OnePlus AC2003"
43.30039013,12.33537795,222,10,,,33020,,14860339,,,252,22,4,"2025-03-22 15:34:45.021Z",4,16,197,LTE,"OnePlus AC2003"
43.29996980,12.33519434,222,10,,,33020,,14860339,,,252,22,4,"2025-03-22 15:34:48.013Z",4,17,198,LTE,"OnePlus AC2003"
43.29955556,12.33502106,222,10,,,33020,,14860339,,,252,22,4,"2025-03-22 15:34:51.013Z",4,14,197,LTE,"OnePlus AC2003"
43.29915533,12.33482973,222,10,,,33020,,14860339,,,252,22,4,"2025-03-22 15:34:59.010Z",4,7,155,LTE,"OnePlus AC2003"
43.29910209,12.33486250,222,10,,,33020,,14860341,,,254,26,,"2025-03-22 15:35:00.295Z",4,7,149,LTE,"OnePlus AC2003"
43.29871445,12.33521073,222,10,,,33020,,14860341,,,254,26,,"2025-03-22 15:35:05.013Z",4,12,146,LTE,"OnePlus AC2003"
43.29831733,12.33563200,222,10,,,33020,,14860341,,,254,26,,"2025-03-22 15:35:09.026Z",4,16,134,LTE,"OnePlus AC2003"
43.29803388,12.33611822,222,10,,,33020,,14860341,,,254,26,,"2025-03-22 15:35:12.013Z",4,18,124,LTE,"OnePlus AC2003"
43.29775973,12.33665377,222,10,,,33020,,14860341,,,254,26,,"2025-03-22 15:35:15.012Z",4,18,123,LTE,"OnePlus AC2003"
43.29749046,12.33720896,222,10,,,33020,,14860341,,,254,26,,"2025-03-22 15:35:18.005Z",4,17,123,LTE,"OnePlus AC2003"
43.29723376,12.33773143,222,10,,,33020,,14860341,,,254,31,1,"2025-03-22 15:35:21.012Z",4,17,124,LTE,"OnePlus AC2003"
43.29698153,12.33824253,222,10,,,33020,,14860341,,,254,31,1,"2025-03-22 15:35:24.004Z",4,17,123,LTE,"OnePlus AC2003"
43.29673547,12.33874733,222,10,,,33020,,14860341,,,254,31,1,"2025-03-22 15:35:27.016Z",4,16,123,LTE,"OnePlus AC2003"
43.29650123,12.33924173,222,10,,,33020,,14860341,,,254,31,1,"2025-03-22 15:35:30.007Z",4,16,124,LTE,"OnePlus AC2003"
43.29626688,12.33971503,222,10,,,33020,,14860341,,,254,25,1,"2025-03-22 15:35:33.008Z",4,15,123,LTE,"OnePlus AC2003"
43.29597589,12.34033099,222,10,,,33020,,14860341,,,254,25,1,"2025-03-22 15:35:37.017Z",4,15,123,LTE,"OnePlus AC2003"
43.29568607,12.34093998,222,10,,,33020,,14860341,,,254,22,,"2025-03-22 15:35:41.015Z",4,15,123,LTE,"OnePlus AC2003"
43.29539838,12.34155219,222,10,,,33020,,14860341,,,254,22,,"2025-03-22 15:35:45.017Z",4,14,122,LTE,"OnePlus AC2003"
43.29514060,12.34209801,222,10,,,33020,,14860341,,,254,22,,"2025-03-22 15:35:49.014Z",4,12,123,LTE,"OnePlus AC2003"
43.29497911,12.34260097,222,10,,,33020,,14860340,,,253,27,,"2025-03-22 15:36:00.355Z",4,2,24,LTE,"OnePlus AC2003"
43.29463878,12.34240950,222,10,,,33020,,14860320,,,138,24,1,"2025-03-22 15:40:18.023Z",39,1,306,LTE,"OnePlus AC2003"
43.29462800,12.34274303,222,10,,,33020,,14860330,,,321,23,,"2025-03-22 15:41:30.987Z",33,2,266,LTE,"OnePlus AC2003"
43.29461980,12.34270298,222,10,,,33020,,14860330,,,321,23,,"2025-03-22 15:41:30.991Z",33,2,266,LTE,"OnePlus AC2003"
43.29485338,12.34277935,222,10,,,33020,,14860320,,,138,27,1,"2025-03-22 15:42:53.047Z",39,1,155,LTE,"OnePlus AC2003"
43.29465548,12.34204004,222,10,,,33020,,14860320,,,138,28,,"2025-03-22 15:43:24.077Z",37,1,268,LTE,"OnePlus AC2003"
43.29467615,12.34261054,222,10,,,33020,,14860320,,,138,27,1,"2025-03-22 15:43:38.044Z",31,1,125,LTE,"OnePlus AC2003"
