mcc,mnc,lac,cell_id,short_cell_id,rnc,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,discovered_at,device,rsrp,rsrq,rssi,rssnr,cqi,rscp,csi_rsrp,csi_rsrq,csi_sinr,ss_rsrp,ss_rsrq,ss_sinr,cdma_dbm,cdma_ecio,evdo_dbm,evdo_ecio,evdo_snr,ec_no,arfcn
222,10,33020,14860329,58048,41,438,15,-83,,43.30240799,12.34009180,17.75,0.85,323,285.16,"2025-04-05T18:18:22.128Z",LTE,false,"2025-03-20T15:45:44.199Z","OnePlus AC2003",-110,-9,-83,8,,,,,,,,,,,,,,,525
222,10,33020,14988575,58549,31,183,27,-59,1,43.30739519,12.32951154,3.79,10.28,56.9,284.18,"2025-04-06T15:19:00.422Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-94,-11,-59,1,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,29,-55,1,43.30765855,12.33002947,3.79,6.01,57.5,286.87,"2025-04-06T15:19:11.399Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-89,-10,-55,1,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,29,-55,1,43.30790290,12.33056731,4.03,10.08,57.9,290.06,"2025-04-06T15:19:17.421Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-89,-10,-55,1,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,29,-55,1,43.30816750,12.33104075,5.53,12.54,52.7,290.36,"2025-04-06T15:19:21.425Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-89,-10,-55,1,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,29,-55,1,43.30840486,12.33157557,3.89,13.5,55.5,290.81,"2025-04-06T15:19:25.424Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-89,-10,-55,1,,,,,,,,,,,,,,,1850
222,10,33020,14988575,58549,31,183,29,-55,1,43.30866383,12.33210984,5.35,11.42,56,292.23,"2025-04-06T15:19:29.416Z",LTE,false,"2025-03-22T18:43:28.336Z","OnePlus AC2003",-89,-10,-55,1,,,,,,,,,,,,,,,1850
222,10,33020,14988596,58549,52,467,25,-63,,43.30866383,12.33210984,5.35,11.42,56,292.23,"2025-04-06T15:19:30.068Z",LTE,false,"2025-03-20T18:32:34.969Z","OnePlus AC2003",-103,-19,-63,,,,,,,,,,,,,,,,3025
222,10,33020,14988596,58549,52,467,25,-63,,43.30895468,12.33268959,5.74,14.19,54.1,293.29,"2025-04-06T15:19:33.425Z",LTE,false,"2025-03-20T18:32:34.969Z","OnePlus AC2003",-103,-19,-63,,,,,,,,,,,,,,,,3025
222,10,33020,14988596,58549,52,467,25,-63,,43.30921647,12.33326004,6.26,12.25,55,294.56,"2025-04-06T15:19:37.422Z",LTE,false,"2025-03-20T18:32:34.969Z","OnePlus AC2003",-103,-19,-63,,,,,,,,,,,,,,,,3025
222,10,33020,14988596,58549,52,467,25,-63,,43.30946356,12.33373039,4.36,6.46,57.9,295.89,"2025-04-06T15:19:42.423Z",LTE,false,"2025-03-20T18:32:34.969Z","OnePlus AC2003",-103,-19,-63,,,,,,,,,,,,,,,,3025
222,10,33020,14988595,58549,51,465,14,-85,4,43.30923854,12.33419480,4.21,7.85,159.7,296.58,"2025-04-06T15:19:50.026Z",LTE,false,"2025-03-21T17:49:55.783Z","OnePlus AC2003",-108,-8,-85,,,,,,,,,,,,,,,,3025
222,10,33020,14988595,58549,51,465,14,-85,4,43.30881916,12.33432385,3.79,12.7,165.8,295.85,"2025-04-06T15:19:53.426Z",LTE,false,"2025-03-21T17:49:55.783Z","OnePlus AC2003",-108,-8,-85,,,,,,,,,,,,,,,,3025
222,10,33020,14988595,58549,51,465,14,-85,4,43.30836227,12.33447504,3.79,13.17,165.6,294.57,"2025-04-06T15:19:57.418Z",LTE,false,"2025-03-21T17:49:55.783Z","OnePlus AC2003",-108,-8,-85,,,,,,,,,,,,,,,,3025
222,10,33020,14988576,58549,32,184,19,-75,,43.30705666,12.33486830,9.94,7.89,155.7,294.35,"2025-04-06T15:20:18.515Z",LTE,false,"2025-03-20T18:34:04.832Z","OnePlus AC2003",-108,-12,-75,,,,,,,,,,,,,,,,1850
222,10,33020,14988576,58549,32,184,19,-75,,43.30662744,12.33503149,9.94,8.4,167.3,295.18,"2025-04-06T15:20:24.472Z",LTE,false,"2025-03-20T18:34:04.832Z","OnePlus AC2003",-108,-12,-75,,,,,,,,,,,,,,,,1850
222,10,33020,14988576,58549,32,184,19,-75,,43.30623204,12.33538585,9.94,10.2,128.3,294.95,"2025-04-06T15:20:30.421Z",LTE,false,"2025-03-20T18:34:04.832Z","OnePlus AC2003",-108,-12,-75,,,,,,,,,,,,,,,,1850
222,10,33020,14988576,58549,32,184,14,-85,5,43.30593445,12.33589700,9.94,10.9,129.1,293.84,"2025-04-06T15:20:35.419Z",LTE,false,"2025-03-20T18:34:04.832Z","OnePlus AC2003",-117,-13,-85,,,,,,,,,,,,,,,,1850
222,10,33020,14988576,58549,32,184,14,-85,5,43.30564843,12.33640008,9.94,9.8,129.7,294.36,"2025-04-06T15:20:40.456Z",LTE,false,"2025-03-20T18:34:04.832Z","OnePlus AC2003",-117,-13,-85,,,,,,,,,,,,,,,,1850
222,10,33020,14988576,58549,32,184,14,-85,5,43.30539235,12.33685221,9.94,4.59,131.4,293.39,"2025-04-06T15:20:46.398Z",LTE,false,"2025-03-20T18:34:04.832Z","OnePlus AC2003",-117,-13,-85,,,,,,,,,,,,,,,,1850
