lat,lon,mcc,mnc,sid,lac,tac,nid,cellid,bid,psc,pci,signal,ta,measured_at,rating,speed,direction,act,devn
43.30240799,12.34009180,222,10,,,33020,,14860329,,,438,15,,"2025-04-05 18:18:22.128Z",18,1,323,LTE,"OnePlus AC2003"
43.30739519,12.32951154,222,10,,,33020,,14988575,,,183,27,1,"2025-04-06 15:19:00.422Z",4,10,57,LTE,"OnePlus AC2003"
43.30765855,12.33002947,222,10,,,33020,,14988575,,,183,29,1,"2025-04-06 15:19:11.399Z",4,6,58,LTE,"OnePlus AC2003"
43.30790290,12.33056731,222,10,,,33020,,14988575,,,183,29,1,"2025-04-06 15:19:17.421Z",4,10,58,LTE,"OnePlus AC2003"
43.30816750,12.33104075,222,10,,,33020,,14988575,,,183,29,1,"2025-04-06 15:19:21.425Z",6,13,53,LTE,"OnePlus AC2003"
43.30840486,12.33157557,222,10,,,33020,,14988575,,,183,29,1,"2025-04-06 15:19:25.424Z",4,14,56,LTE,"OnePlus AC2003"
43.30866383,12.33210984,222,10,,,33020,,14988575,,,183,29,1,"2025-04-06 15:19:29.416Z",5,11,56,LTE,"OnePlus AC2003"
43.30866383,12.33210984,222,10,,,33020,,14988596,,,467,25,,"2025-04-06 15:19:30.068Z",5,11,56,LTE,"OnePlus AC2003"
43.30895468,12.33268959,222,10,,,33020,,14988596,,,467,25,,"2025-04-06 15:19:33.425Z",6,14,54,LTE,"OnePlus AC2003"
43.30921647,12.33326004,222,10,,,33020,,14988596,,,467,25,,"2025-04-06 15:19:37.422Z",6,12,55,LTE,"OnePlus AC2003"
43.30946356,12.33373039,222,10,,,33020,,14988596,,,467,25,,"2025-04-06 15:19:42.423Z",4,6,58,LTE,"OnePlus AC2003"
43.30923854,12.33419480,222,10,,,33020,,14988595,,,465,14,4,"2025-04-06 15:19:50.026Z",4,8,160,LTE,"OnePlus AC2003"
43.30881916,12.33432385,222,10,,,33020,,14988595,,,465,14,4,"2025-04-06 15:19:53.426Z",4,13,166,LTE,"OnePlus AC2003"
43.30836227,12.33447504,222,10,,,33020,,14988595,,,465,14,4,"2025-04-06 15:19:57.418Z",4,13,166,LTE,"OnePlus AC2003"
43.30705666,12.33486830,222,10,,,33020,,14988576,,,184,19,,"2025-04-06 15:20:18.515Z",10,8,156,LTE,"OnePlus AC2003"
43.30662744,12.33503149,222,10,,,33020,,14988576,,,184,19,,"2025-04-06 15:20:24.472Z",10,8,167,LTE,"OnePlus AC2003"
43.30623204,12.33538585,222,10,,,33020,,14988576,,,184,19,,"2025-04-06 15:20:30.421Z",10,10,128,LTE,"OnePlus AC2003"
43.30593445,12.33589700,222,10,,,33020,,14988576,,,184,14,5,"2025-04-06 15:20:35.419Z",10,11,129,LTE,"OnePlus AC2003"
43.30564843,12.33640008,222,10,,,33020,,14988576,,,184,14,5,"2025-04-06 15:20:40.456Z",10,10,130,LTE,"OnePlus AC2003"
43.30539235,12.33685221,222,10,,,33020,,14988576,,,184,14,5,"2025-04-06 15:20:46.398Z",10,5,131,LTE,"OnePlus AC2003"
